"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal" "ciFinal_Down" "ciFinal_Up"
"MPWI" "45" "-1.93906183549567" "-1.600084" "0.668732206392019" "-3.24975287532603" "-0.628370795665306"
"MPWI" "45" "-1.99624539181201" "-1.665115" "0.666435245250639" "-3.30243447053138" "-0.690056313092636"
"MPWI" "45" "-1.84497043951896" "-1.584088" "0.677591830946052" "-3.17302602439178" "-0.516914854646149"
"MPWI" "45" "-1.84159342865264" "-1.507926" "0.659189034531288" "-3.1335801953377" "-0.549606661967589"
"MPWI" "45" "-1.83840601804098" "-1.517633" "0.656429098812714" "-3.12498341011799" "-0.55182862596398"
"MPWI" "45" "-1.83688695770219" "-1.511907" "0.658891701000019" "-3.12829096137456" "-0.545482954029817"
"MPWI" "45" "-1.88927217054141" "-1.537172" "0.658726124008862" "-3.18035164927444" "-0.598192691808374"
"MPWI" "45" "-1.80969954783389" "-1.527614" "0.693499796277662" "-3.16893417182397" "-0.450464923843803"
"MPWI" "45" "-1.90596125487455" "-1.672917" "0.686678206726025" "-3.25182580902611" "-0.560096700722988"
"MPWI" "45" "-1.92564261433236" "-1.598736" "0.67467575259272" "-3.24798279065655" "-0.603302438008174"
"MPWI" "45" "-1.80267206300306" "-1.564953" "0.68585668653667" "-3.14692646717091" "-0.458417658835209"
"MPWI" "45" "-1.89654899702061" "-1.593019" "0.670716162605088" "-3.21112851957549" "-0.581969474465724"
"MPWI" "45" "-1.82772550618115" "-1.586572" "0.68962925964095" "-3.17937401776244" "-0.476076994599869"
"MPWI" "45" "-1.78099434338642" "-1.547467" "0.680101797529668" "-3.11396937236552" "-0.44801931440732"
"MPWI" "45" "-1.71222721035082" "-1.5393" "0.707058403760236" "-3.09803621668726" "-0.326418204014379"
"MPWI" "45" "-1.76938177079574" "-1.520243" "0.667647584868909" "-3.07794699150395" "-0.460816550087534"
"MPWI" "45" "-2.09458788538306" "-1.716215" "0.646521694853841" "-3.36174712252039" "-0.82742864824574"
"MPWI" "45" "-1.98282739046175" "-1.640222" "0.650867049874462" "-3.25850336693953" "-0.707151413983971"
