"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "9" "-1.58223727171184" "0.620429552181085" "MFI"
"MFI" "6" "-0.616981988219859" "0.555923318801635" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "9" "-1.58223727171184" "0.620429552181085" "MFI"
"MFI" "9" "-1.58223727171184" "0.620429552181085" "MFI"
"MFI" "9" "-1.58869512730336" "0.548201081189116" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "8" "-1.76195824608176" "0.596427318461419" "MFI"
"MFI" "8" "-1.20259140835578" "0.637331512925321" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "9" "-1.58869512730336" "0.548201081189116" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "9" "-1.58869512730336" "0.548201081189116" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "9" "-1.58223727171184" "0.620429552181085" "MFI"
"MFI" "9" "-1.58223727171184" "0.620429552181085" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "7" "-1.19461088750884" "0.62001566283762" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "8" "-1.53260462951339" "0.603607856296901" "MFI"
"MFI" "9" "-1.58223727171184" "0.620429552181085" "MFI"
"MFI" "9" "-1.58223727171184" "0.620429552181085" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "6" "-1.66728258879635" "0.616079260035188" "MFI"
"MFI" "7" "-1.19461088750884" "0.62001566283762" "MFI"
