"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal"
"random" "6" "-0.780094370808452" "0.77628545275835" "random"
"random" "6" "-0.311978999201352" "0.774000700347638" "random"
"random" "6" "-0.0593082925423538" "0.706213827887549" "random"
"random" "6" "-0.565489431820417" "0.629302875490105" "random"
"random" "7" "-0.894187521941819" "0.682585414268156" "random"
"random" "6" "-1.01547687477935" "0.797064728247332" "random"
"random" "7" "-1.12987322472393" "0.716226918820515" "random"
"random" "11" "-1.03113273327007" "0.738371707494569" "random"
"random" "8" "-0.533285971499401" "0.807727042643244" "random"
"random" "6" "-0.50518075917365" "0.695634204015137" "random"
"random" "11" "-0.73835138602023" "0.639158165306633" "random"
"random" "8" "-1.13579537110228" "0.693891734913955" "random"
"random" "7" "-1.4036430925381" "0.667004436970405" "random"
"random" "6" "-0.711024108562752" "0.756411843253432" "random"
"random" "6" "-0.641782647165923" "0.769374965290686" "random"
"random" "11" "-0.520168809098466" "0.719311607033223" "random"
"random" "8" "-0.940806077975753" "0.72597028944715" "random"
"random" "12" "-0.725920433368034" "0.737270805393714" "random"
"random" "10" "-0.660592781960019" "0.818930573646384" "random"
"random" "6" "-1.03162779251609" "0.776378883836246" "random"
"random" "6" "-1.45702568746589" "0.698533985929737" "random"
"random" "9" "-0.0300430271749422" "0.735578918649798" "random"
"random" "6" "-0.736886860531398" "0.664710887716643" "random"
"random" "6" "-0.405271537777174" "0.794324344722472" "random"
"random" "8" "-0.856804032887389" "0.7129642848528" "random"
"random" "7" "-1.17191834159074" "0.71254480558255" "random"
"random" "8" "-1.08716648879073" "0.677742972166317" "random"
"random" "11" "-0.817444604919779" "0.713323456100184" "random"
"random" "6" "-1.0379109428753" "0.701382910124353" "random"
"random" "6" "-0.850434223079816" "0.710798957572087" "random"
"random" "8" "-0.632033816259263" "0.647592571044481" "random"
"random" "6" "-0.300377757486029" "0.736830228256727" "random"
"random" "14" "-0.675362234266997" "0.89344711335972" "random"
"random" "6" "-0.569366140602285" "0.795854067564836" "random"
"random" "6" "-0.715360696368268" "0.734093943882064" "random"
"random" "8" "-0.92388952659398" "0.691837926711825" "random"
"random" "6" "-0.685104795171137" "0.759143895600864" "random"
"random" "9" "0.394860376297505" "0.866644650976534" "random"
"random" "10" "-1.38280144784319" "0.703630633044169" "random"
"random" "6" "-0.70750875084549" "0.717098745422227" "random"
"random" "6" "-0.275027955388149" "0.861353850290807" "random"
"random" "9" "-0.294201457673069" "0.750936870435933" "random"
"random" "6" "-0.75145858722641" "0.728974306155392" "random"
"random" "7" "-1.09382072706382" "0.726436309164528" "random"
"random" "6" "-0.817386256658964" "0.775840796819973" "random"
"random" "7" "-1.30200120191512" "0.652209223800276" "random"
"random" "10" "-0.771060503883909" "0.70338270312289" "random"
"random" "7" "-0.649292637700483" "0.800984977709687" "random"
