"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal"
"MEI" "45" "-1.65995849844281" "0.522894215802363" "MEI"
"MEI" "45" "-1.63649506508948" "0.610595083492147" "MEI"
"MEI" "45" "-1.82917190904075" "0.635957174496336" "MEI"
"MEI" "45" "-1.89538387689183" "0.58285292633103" "MEI"
"MEI" "45" "-1.73289128365531" "0.56884360805594" "MEI"
"MEI" "45" "-1.93597533865169" "0.575012270895523" "MEI"
"MEI" "44" "-1.7851339851024" "0.582875521228801" "MEI"
"MEI" "45" "-1.52042822283534" "0.641929367387666" "MEI"
"MEI" "45" "-2.21065494738858" "0.572123078982709" "MEI"
"MEI" "44" "-2.25567745773458" "0.530980224312384" "MEI"
"MEI" "45" "-1.82680060168757" "0.514382656780215" "MEI"
"MEI" "45" "-1.94956304834473" "0.578425152462474" "MEI"
"MEI" "45" "-2.25350881707401" "0.477037794579976" "MEI"
"MEI" "43" "-2.28669847286225" "0.512517790551324" "MEI"
"MEI" "45" "-1.80270574222252" "0.57009341911428" "MEI"
"MEI" "45" "-2.21069071862812" "0.552315390838713" "MEI"
"MEI" "45" "-2.0951135068593" "0.551487014004437" "MEI"
"MEI" "45" "-2.22369404551563" "0.569362721828586" "MEI"
"MEI" "44" "-1.82105287644645" "0.604299072870676" "MEI"
"MEI" "45" "-2.17298927710039" "0.558255625111181" "MEI"
"MEI" "45" "-1.61053996362103" "0.589389228382538" "MEI"
"MEI" "45" "-2.10043032538761" "0.582396016981636" "MEI"
"MEI" "44" "-2.00574464637433" "0.541652636564877" "MEI"
"MEI" "45" "-2.01423354422215" "0.605761410035429" "MEI"
"MEI" "45" "-2.20547520109545" "0.53752303514603" "MEI"
"MEI" "45" "-2.0590602482154" "0.580767250593423" "MEI"
"MEI" "43" "-2.31405621801147" "0.526686271734674" "MEI"
"MEI" "42" "-2.18072882649448" "0.548537303371114" "MEI"
"MEI" "45" "-2.16125969986008" "0.567167770170333" "MEI"
"MEI" "45" "-2.1856001701588" "0.534631279357964" "MEI"
"MEI" "45" "-2.06224219779858" "0.585425878385997" "MEI"
"MEI" "45" "-1.90410433145833" "0.521412804530437" "MEI"
"MEI" "45" "-2.31545774262093" "0.541056660633775" "MEI"
"MEI" "45" "-1.97823031955547" "0.573914724087821" "MEI"
"MEI" "45" "-1.70366431947042" "0.515209930538567" "MEI"
"MEI" "45" "-2.11331353748877" "0.549868511483131" "MEI"
"MEI" "45" "-2.42517260656703" "0.522231916826638" "MEI"
"MEI" "45" "-1.97380207183823" "0.599833650932431" "MEI"
"MEI" "43" "-1.68010810559073" "0.53205323240778" "MEI"
"MEI" "43" "-1.79191694877453" "0.492200133943715" "MEI"
"MEI" "45" "-2.28065274992389" "0.522467334105354" "MEI"
"MEI" "45" "-1.33564412769878" "0.657113471677271" "MEI"
"MEI" "45" "-2.15452894455573" "0.566682378305173" "MEI"
"MEI" "44" "-1.76391609997601" "0.495424006214336" "MEI"
"MEI" "45" "-2.17944236952773" "0.539600200468489" "MEI"
"MEI" "43" "-1.9518419559303" "0.574111740454683" "MEI"
"MEI" "45" "-1.40358447036112" "0.488210470149798" "MEI"
"MEI" "43" "-1.42601622713111" "0.498178590834252" "MEI"
"MEI" "45" "-1.20093848567353" "0.646506901391217" "MEI"
"MEI" "45" "-1.92798836914161" "0.594559102656557" "MEI"
"MEI" "42" "-2.30384939618104" "0.553787977186692" "MEI"
"MEI" "45" "-2.22071726695186" "0.540716374377651" "MEI"
"MEI" "45" "-1.95862169107211" "0.513173065693932" "MEI"
"MEI" "44" "-1.05873454098714" "0.692224051585235" "MEI"
"MEI" "44" "-1.51845993111009" "0.593807354525685" "MEI"
"MEI" "45" "-2.06696349924582" "0.569931113543892" "MEI"
"MEI" "45" "-1.74883956649706" "0.56541382522877" "MEI"
"MEI" "45" "-1.93352506838971" "0.574156059781126" "MEI"
"MEI" "45" "-1.75550749500512" "0.568390536186853" "MEI"
"MEI" "45" "-1.86499755976565" "0.56595557362232" "MEI"
"MEI" "45" "-1.93415892034258" "0.542047121394925" "MEI"
"MEI" "45" "-1.89956205837565" "0.57773324563955" "MEI"
"MEI" "45" "-2.04975647699709" "0.520585089883773" "MEI"
"MEI" "45" "-1.91879076065965" "0.573957572083174" "MEI"
"MEI" "45" "-2.12355067632163" "0.518430613742286" "MEI"
"MEI" "44" "-2.09997994406742" "0.546763810838088" "MEI"
"MEI" "45" "-1.56934231043064" "0.427085612100985" "MEI"
"MEI" "45" "-2.22873302628468" "0.532872599227341" "MEI"
"MEI" "45" "-1.92521507235283" "0.602790285046168" "MEI"
