"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal" "ciFinal_Down" "ciFinal_Up"
"MFI" "45" "-1.9144799756237" "-1.565727" "0.658961148498505" "-3.20602009389192" "-0.622939857355484"
"MFI" "45" "-1.72012810775301" "-1.562874" "0.712615529123609" "-3.11682887965924" "-0.323427335846781"
"MFI" "45" "-2.08542993259404" "-1.713151" "0.649087709018598" "-3.35761846507811" "-0.813241400109977"
"MFI" "45" "-1.86325195615815" "-1.590344" "0.679033272424901" "-3.19413271441534" "-0.532371197900974"
"MFI" "45" "-1.6958957274757" "-1.529435" "0.704768116185587" "-3.07721585265159" "-0.314575602299805"
"MFI" "45" "-2.0869809319258" "-1.713217" "0.648136994178118" "-3.35730609756296" "-0.816655766288644"
"MFI" "45" "-1.74179368097393" "-1.505292" "0.70925521220133" "-3.13190835273585" "-0.35167900921201"
"MFI" "45" "-1.79962131305048" "-1.545516" "0.679472828612345" "-3.13136358560424" "-0.467879040496731"
"MFI" "45" "-1.92417016811367" "-1.601174" "0.676353765837311" "-3.24979918996283" "-0.5985411462645"
"MFI" "45" "-1.7554517146616" "-1.508934" "0.686511411045038" "-3.10098935528564" "-0.409914074037549"
"MFI" "45" "-1.92197782418685" "-1.538832" "0.64246934051585" "-3.18119459276912" "-0.662761055604587"
"MFI" "45" "-2.06306383489501" "-1.708332" "0.653474494641351" "-3.34385030920757" "-0.782277360582451"
"MFI" "45" "-1.88100327934937" "-1.640007" "0.69564177879942" "-3.24443611193761" "-0.517570446761124"
"MFI" "45" "-1.59228113562342" "-1.527693" "0.734351128800238" "-3.03158290007822" "-0.152979371168617"
"MFI" "45" "-1.94320662597952" "-1.630554" "0.659703379046473" "-3.23620148938998" "-0.650211762569058"
"MFI" "45" "-1.99337352069055" "-1.664885" "0.666936725462621" "-3.30054548256436" "-0.686201558816734"
"MFI" "45" "-1.81796983287198" "-1.568489" "0.682760790838714" "-3.15615639297195" "-0.479783272772021"
"MFI" "45" "-1.90600257743774" "-1.626574" "0.665897480358494" "-3.21113765633636" "-0.600867498539126"
"MFI" "45" "-1.74074166427988" "-1.532511" "0.694171049304611" "-3.10129192002729" "-0.380191408532459"
"MFI" "45" "-1.8551548202795" "-1.502397" "0.649148814424293" "-3.12746311715798" "-0.582846523401006"
"MFI" "45" "-1.71607545603684" "-1.53075" "0.708899397608566" "-3.10549274401176" "-0.326658168061908"
"MFI" "45" "-1.77299080072941" "-1.53046" "0.701842189674853" "-3.14857621532285" "-0.39740538613597"
"MFI" "45" "-1.80791820205408" "-1.555526" "0.696686597743034" "-3.17339884214217" "-0.442437561965994"
"MFI" "45" "-1.87194723391983" "-1.52337" "0.651107872396022" "-3.14809521386653" "-0.595799253973124"
"MFI" "45" "-1.91892177967545" "-1.66158" "0.680375505665657" "-3.25243326674337" "-0.585410292607534"
"MFI" "45" "-1.9523711923895" "-1.633671" "0.659469896104399" "-3.24490843764249" "-0.659833947136509"
"MFI" "45" "-1.75041689178065" "-1.566372" "0.703945695396278" "-3.13012510182936" "-0.370708681731948"
"MFI" "45" "-1.76080855904826" "-1.554747" "0.69929125204952" "-3.13139422776924" "-0.390222890327281"
"MFI" "45" "-1.80054940333488" "-1.527771" "0.683328944666523" "-3.13984952447503" "-0.461249282194731"
"MFI" "45" "-1.80973743524458" "-1.545989" "0.677719429632919" "-3.13804310894812" "-0.481431761541027"
"MFI" "45" "-1.85760356137339" "-1.563413" "0.657718816714157" "-3.14670875408744" "-0.568498368659342"
"MFI" "45" "-1.99407828357999" "-1.664931" "0.666476138971418" "-3.30034751251928" "-0.687809054640697"
"MFI" "45" "-1.79757474217454" "-1.533653" "0.687372609574935" "-3.14480030090073" "-0.450349183448359"
"MFI" "45" "-2.08413522858779" "-1.713087" "0.649738144384185" "-3.35759859096268" "-0.8106718662129"
"MFI" "45" "-2.04141454957928" "-1.700958" "0.657792371426885" "-3.33066390688117" "-0.752165192277392"
"MFI" "45" "-1.91424626550883" "-1.579461" "0.668998245540097" "-3.2254587324879" "-0.603033798529755"
"MFI" "45" "-1.94161229884419" "-1.656477" "0.681925241830781" "-3.27816121298129" "-0.605063384707091"
"MFI" "45" "-1.95501214803816" "-1.588938" "0.657288416296402" "-3.24327377143448" "-0.666750524641844"
"MFI" "45" "-1.80566414713754" "-1.5587" "0.688183215159594" "-3.15447846361533" "-0.456849830659761"
"MFI" "45" "-1.9103243422945" "-1.606275" "0.660877119871082" "-3.20561969544838" "-0.615028989140623"
"MFI" "45" "-1.82875602624958" "-1.574652" "0.688304028550186" "-3.17780713262178" "-0.47970491987739"
"MFI" "45" "-1.90820663499203" "-1.608525" "0.662932360985289" "-3.2075301867093" "-0.608883083274757"
"MFI" "45" "-1.75993836611108" "-1.501658" "0.680079161828063" "-3.09286902993027" "-0.427007702291885"
"MFI" "45" "-2.08420857885752" "-1.713123" "0.64981361512272" "-3.35781986116183" "-0.810597296553221"
"MFI" "45" "-1.87960548252175" "-1.553247" "0.659623388779601" "-3.17244356789003" "-0.586767397153467"
"MFI" "45" "-1.80688273185699" "-1.549209" "0.677054846686972" "-3.13388584692174" "-0.479879616792237"
"MFI" "45" "-1.86868896622954" "-1.595462" "0.667362565262845" "-3.17669555877497" "-0.5606823736841"
