"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal"
"KL" "15" "-1.30775551761433" "0.592763263934504" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "19" "-1.14660917304291" "0.638939547194972" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-0.256433741413413" "0.692405888890284" "KL"
"KL" "7" "-0.579316984269502" "0.586857893590307" "KL"
"KL" "18" "-1.25250231100523" "0.65943944194785" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "6" "-0.405994705979589" "0.73832349113659" "KL"
"KL" "6" "-0.405994705979589" "0.73832349113659" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "6" "-0.610221917269336" "0.570206473299172" "KL"
"KL" "14" "-1.19962640259954" "0.609191894515005" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "12" "-0.12830205281975" "0.649179947827232" "KL"
"KL" "7" "-0.256433741413413" "0.692405888890284" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "6" "-0.36581635462118" "0.623498115904528" "KL"
"KL" "6" "-0.371610757656748" "0.6211622245685" "KL"
"KL" "14" "-1.55769398150103" "0.569144525528388" "KL"
"KL" "6" "-0.610221917269336" "0.570206473299172" "KL"
"KL" "16" "-1.54514689514044" "0.568845629674653" "KL"
"KL" "9" "-0.211886420432576" "0.741656531365622" "KL"
"KL" "7" "-1.29372167658613" "0.623101890643302" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "6" "-0.405994705979589" "0.73832349113659" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "8" "0.280630231988463" "0.549832016842488" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "6" "-0.405994705979589" "0.73832349113659" "KL"
"KL" "6" "-0.610221917269336" "0.570206473299172" "KL"
"KL" "6" "-0.36581635462118" "0.623498115904528" "KL"
"KL" "6" "-0.371610757656748" "0.6211622245685" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "6" "-0.405994705979589" "0.73832349113659" "KL"
"KL" "10" "-0.396827933840922" "0.794651733909236" "KL"
"KL" "6" "-0.185764347476832" "0.743695564616719" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "12" "-1.22610226146" "0.600148166396061" "KL"
"KL" "7" "0.521978930602111" "0.640757094667439" "KL"
"KL" "6" "-0.371610757656748" "0.6211622245685" "KL"
"KL" "7" "-0.579316984269502" "0.586857893590307" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "8" "-0.30444207797893" "0.781525139223799" "KL"
"KL" "18" "-1.22098236778764" "0.622868805980831" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "14" "-1.02570248958535" "0.628696107458014" "KL"
"KL" "9" "-1.27682556211318" "0.63012884476082" "KL"
"KL" "13" "-0.699534959730559" "0.500366985893013" "KL"
"KL" "7" "-1.29372167658613" "0.623101890643302" "KL"
"KL" "14" "-1.52413967783804" "0.584094800782851" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29372167658613" "0.623101890643302" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "13" "-1.11069319629453" "0.631379817869935" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "6" "-0.371610757656748" "0.6211622245685" "KL"
"KL" "6" "-0.304506021707052" "0.638383301812162" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "6" "-0.185764347476832" "0.743695564616719" "KL"
"KL" "7" "-0.186465924555323" "0.737426159339745" "KL"
"KL" "8" "-0.0382294133790077" "0.596372581555172" "KL"
"KL" "6" "-0.610221917269336" "0.570206473299172" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29372167658613" "0.623101890643302" "KL"
"KL" "6" "-0.405994705979589" "0.73832349113659" "KL"
"KL" "15" "-1.55411665852647" "0.569155767939321" "KL"
"KL" "6" "-0.610221917269336" "0.570206473299172" "KL"
"KL" "7" "0.0902312172788149" "0.61894837026913" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-1.29704865945308" "0.621352591128696" "KL"
"KL" "7" "-0.579316984269502" "0.586857893590307" "KL"
"KL" "7" "-1.29704865945308" "0.673509288270426" "KL"
