"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal"
"random" "6" "-1.07003352088194" "0.809048202019323" "random"
"random" "6" "-0.969237539121745" "0.715336874586277" "random"
"random" "7" "-0.856355548440622" "0.717837588308895" "random"
"random" "7" "-1.31630397782333" "0.713106609984074" "random"
"random" "6" "-1.02851817810545" "0.721935034981786" "random"
"random" "7" "-0.514330694470784" "0.79058113896622" "random"
"random" "8" "-1.31119842770036" "0.685593128307472" "random"
"random" "7" "-0.508208907116108" "0.864303270407376" "random"
"random" "8" "-1.15001452774496" "0.768585556683285" "random"
"random" "10" "-0.476993096574775" "0.792460076523592" "random"
"random" "7" "-0.996174257534759" "0.770926473751139" "random"
"random" "7" "-0.623947351765849" "0.767174369460043" "random"
"random" "6" "-0.450005710591826" "0.854055724837235" "random"
"random" "7" "-1.34787960794116" "0.696364441634574" "random"
"random" "7" "-0.685037316613832" "0.749194344107144" "random"
"random" "9" "-0.861350899304605" "0.729504990973458" "random"
"random" "7" "-1.15310456890962" "0.670592042858825" "random"
"random" "8" "-0.105410823371966" "0.62109267553244" "random"
"random" "10" "-1.01628992793147" "0.692706136659546" "random"
"random" "7" "-0.496937406640196" "0.834878330866256" "random"
"random" "8" "-0.747064797293217" "0.714874687316607" "random"
"random" "8" "-1.05101495336778" "0.704771471203425" "random"
"random" "6" "-0.949942090313839" "0.717995372459545" "random"
"random" "6" "-1.36909623000784" "0.67117498874129" "random"
"random" "7" "-1.23093213430566" "0.723703547651592" "random"
"random" "6" "-0.813078894276654" "0.77734263761875" "random"
"random" "8" "-1.20074195818101" "0.646773529270751" "random"
"random" "8" "-0.675945556960214" "0.735464369236173" "random"
"random" "11" "-0.691683911389651" "0.720322094562711" "random"
"random" "6" "-0.410666817652397" "0.850440289381289" "random"
"random" "8" "-1.16300928691962" "0.724228550202305" "random"
"random" "6" "-0.920091468581194" "0.687144591966424" "random"
"random" "6" "-0.726177163730694" "0.745947227686173" "random"
"random" "9" "-1.09537612779763" "0.669031886328846" "random"
"random" "7" "-0.737370838843139" "0.715581060433981" "random"
"random" "6" "-0.053308635317509" "0.887936271934671" "random"
"random" "6" "-0.778308813570977" "0.773821088585082" "random"
"random" "8" "-1.03421876973212" "0.67012805880571" "random"
"random" "6" "-1.13812057246712" "0.696032479554821" "random"
"random" "9" "-0.767446550394902" "0.752661098787586" "random"
