"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal" "ciFinal_Down" "ciFinal_Up"
"MFI" "21" "0.327392411871437" "0.859137" "0.492783729979338" "-0.638445951055377" "1.29323077479825"
"MFI" "45" "-1.13829374593929" "0.250147" "0.511014705925331" "-2.13986416512327" "-0.136723326755319"
"MFI" "30" "-0.637983406659372" "-0.208911" "0.499514253845875" "-1.61701335396169" "0.341046540642941"
"MFI" "45" "-0.832194325999028" "0.046745" "0.502554297729756" "-1.81718264982517" "0.152793997827112"
"MFI" "24" "-0.100133501591833" "0.780203" "0.491344749635194" "-1.06315151486966" "0.862884511685996"
"MFI" "45" "-1.46225739922179" "-0.783312" "0.568360853079042" "-2.57622420147917" "-0.348290596964409"
"MFI" "45" "-1.980953760838" "-1.105576" "0.577667747799967" "-3.1131617415563" "-0.848745780119697"
"MFI" "45" "-1.05746873743907" "0.249642" "0.510347220343028" "-2.05773090892154" "-0.0572065659566106"
"MFI" "23" "0.70706334305312" "1.081805" "0.494614695415556" "-0.262363646185617" "1.67649033229186"
"MFI" "45" "-1.90781317637175" "-1.151906" "0.603326233117934" "-3.09031086421112" "-0.725315488532388"
